SYSTEM_NO,SYSTEM_NAM,HQNAME,ADDRESS,CITY,STATE,ZIP,ZIP_EXT,POP_SERV,CONNECTION,AREA_SERVE
2000201,RIPPERDAN MARKET,RIPPERDAN MARKET,6802  HIGHWAY 145,MADERA,CA,93637,,50,3,
2000202,YOSEMITE LAKES COMMUNITY CHURCH,Yosemite Lakes Community Churc,43840 PATRICK AVE,COARSEGOLD,CA,93614,,51,9,Yosemite Lakes Community Churc
2000203,OUTBACK INC - WATER ONLY,Outback Inc,26065 Outback Industrial Way,COARSEGOLD,CA,93614,,40,4,Outback Inc
2000206,BUILDING FOR CHRIST,Building for Christ,26247 ELLIS ST,MADERA,CA,93638,,390,4,Building for Christ
2000207,CREEKSIDE APARTMENTS,Creekside Apartments,49484 ROAD 426,OAKHURST,CA,93644,,21,7,Creekside Apartments
2000211,AHWAHNEE INN,,42317 HIGHWAY 49,AHWAHNEE,CA,93601,,50,1,
2000212,FORTY ONE MOTEL,,HIGHWAY 41,COARSEGOLD,CA,93614,,25,13,
2000220,MADERA RANCHOS ASSEMBLY OF GOD,MADERA RANCHOS ASSEMBLY OF GOD,35849 AVENUE 13 1/2,MADERA,CA,93636,,150,1,MADERA RANCHOS ASSEMBLY OF GOD
2000227,A & J WATER,A&J WATER,40083 HIGHWAY 41,OAKHURST,CA,93644,,200,2,A & J Water
2000235,SAN JOAQUIN RIVER BLUFF ESTATES,,E OFF ROAD 40,FRESNO,CA,93710,,60,20,
2000241,AZTECA MILLING/VALLEY GRAIN  1B,VALLEY GRAIN OFFICE 4B,23643  AVENUE 18,MADERA,CA,93639,,30,1,VALLEY GRAIN OFFICE 4B
2000245,RIO MESA GOLF INC,RIO MESA GOLF COURSE,41445 AVENUE 9,FRESNO,CA,93720,,190,2,
2000251,FORKS RESORT,FORKS RESORT,39150 ROAD 222,BASS LAKE,Ca,93604,,772,1,
2000258,YOSEMITE FORKS MTN HOUSE RESTAURANT,YOSEMITE FORKS MTN HOUSE RESTA,42515 HIGHWAY 41,OAKHURST,CA,93644,,50,1,
2000259,QUICK SERVE CHEVRON,QUICK SERVE (CHEVRON),32019 MEADOW RIDGE RD,COARSEGOLD,CA,93614,,100,2,QUICK SERVE (TEXACO)
2000260,COARSEGOLD SELF SERVE (SHELL),COARSEGOLD SELF SERV,35481 HIGHWAY 41,COARSEGOLD,CA,93614,,40,1,COARSEGOLD SELF SERV
2000263,RIVER CREEK GOLF MAIN (Inactive),RIVER CREEK GOLF MAINTENANCE,41709 ROAD 600,AHWAHNEE,CA,93601,,60,1,RIVER CREEK GOLF MAINTENANCE
2000275,CHILDREN S HOSPITAL CENTRAL CALIF,CHILDREN S HOSPITAL,9300 VALLEY CHILDREN S PL,MADERA,CA,93636,-876,2500,7,CHILDREN'S HOSPITAL
2000286,SPECIALTY CROP CO,SPECIALTY CROP CO,9677 ROAD 30 1/2,MADERA,CA,93637,,30,1,SPECIALTY CROP CO
2000292,GOLD MINE PIZZA,GOLD MINE PIZZA,35686 HIGHWAY 41,COARSEGOLD,CA,93614,,30,3,
2000293,MD#46 AHWAHNEE RESORTS,MD#46 AHWAHNEE RESORTS,46785 ROAD 621,AHWAHNEE,CA,93601,,300,90,MD#46 AHWAHNEE RESORTS
2000294,FAMILY FOOD CENTER,FAMILY FOOD CENTER,6895 CA-145,MADERA,CA,93637,,35,1,FAMILY FOOD CENTER
2000298,VINTAGE HOUSE NUT COMPANY,VINTAGE HOUSE NUT COMPANY,30338 AVENUE 12,MADERA,CA,93638,,30,1,VINTAGE HOUSE NUT COMPANY
2000300,ABC LABS CALIFORNIA,ABC LABS CALIFORNIA,32380 AVENUE 10,MADERA,CA,93638,,80,3,ABC LABS CALIFORNIA
2000301,PISTACHIO PRODUCERS,PARAMOUNT FARMS INC,20282  ROAD 21,MADERA,CA,93637,,75,1,PARAMOUNT FARMS INC
2000307,VALLEY ALMOND,Valley Almond,19482 ROAD 19,MADERA,CA,93637,,30,10,
2000315,MADERA DISTRICT FAIR,MADERA DISTRICT FAIR,1850 W CLEVELAND AVE,MADERA,CA,93637,,500,12,
2000320,RIVERBEND GOLF COURSE,RIVERBEND GOLF CLUB,43369 AVENUE 12,MADERA,CA,93638,,160,2,RIVERBEND GOLF CLUB
2000327,TIA RITA S,TIA RITAS,31793 HIGHWAY 41,COARSEGOLD,CA,93614,,50,3,
2000352,MADERA IRRIGATION DISTRICT,MADERA IRRIGATION DISTRICT,12152 ROAD 28 1/4,MADERA,CA,93637,,40,1,MADERA IRRIGATION DISTRICT
2000370,TOM PISTACHIO WATER SYSTEM,T G P TRUCK STOP,22717 AVENUE 18 1/2,MADERA,CA,93637,,2000,7,T G P TRUCK STOP
2000371,OLD BARN TECH CENTER,OLD BARN TECH CENTER,41486 OLD BARN WY,OAKHURST,CA,93644,,26,6,
2000377,S & J RANCH - OFFICE,S & J RANCH/DOLE DRIED FRUIT,39639 AVENUE 10,MADERA,CA,93638,,43,5,S & J RANCH/DOLE DRIED FRUIT
2000379,PUMICE FLATS CAMPGROUND,INYO NATIONAL FOREST,873 NORTH MAIN STREET,BISHOP,CA,93514,,100,15,
2000380,AGNEW MEADOWS CAMPGROUND,AGNEW MEADOWS CAMPGROUND,MAMMOTH RANGER DISTRICT,MAMMOTH LAKES,CA,93546,,25,1,
2000381,REDS MEADOWS CAMPGROUND (MADERA CO),REDS MEADOWS CAMPGROUND,MAMMOTH RANGER DISTRICT,MAMMOTH LAKES,CA,93546,,500,8,
2000382,REDS MEADOW RESORT,REDS MEADOW RESORT,END OF HWY 203,MAMMOTH LAKES,CA,93546,,75,1,
2000384,FAIRMEAD LANDFILL,FAIRMEAD LANDFILL WATER SYSTEM,21739 ROAD 19,CHOWCHILLA,CA,93610,,72,4,FAIRMEAD LANDVILL WATER SYSTEM
2000385,MADERA COUNTY BASS LAKE GOVT CENTER,MADERA CO BASS LAKE GOVT CENTE,40601 ROAD 274,BASS LAKE,CA,93604,,50,3,
2000500,VALLEY PISTACHIO,Valley Pistachio,20865 AVENUE 20,MADERA,CA,93637,,30,2,
2000501,BASS LAKE ANNEX #3,BASS LAKE ANNEX #3,35987 E HIGHLAND Dr,WISHON,CA,93669,,42,28,
2000502,BASS LAKE HEIGHTS MUTUAL WATER,BASS LAKE HEIGHTS MUTUAL WATER,39352 MANZANITA DR,OAKHURST,CA,93644,,250,102,BASS LAKE HEIGHTS MUTUAL WATER
2000503,BATTERSON WORK CENTER (water),BATTERSON WORK CENTER,43060 HIGHWAY 41,OAKHURST,CA,93643,,30,1,BATTERSON WORK CENTER
2000504,LA VINA RANCH,LA VINA RANCH,9408 ROAD 23,MADERA,CA,93637,,112,11,MORGAN JOHNSON RANCH
2000505,LUPINE WATER SYSTEM,LUPINE BASS LAKE,,BASS LAKE,CA,93604,,13230,5,LUPINE BASS LAKE
2000506,SIERRA LINDA MUTUAL WATER CO,SIERRA LINDA MUTUAL WATER CO,36165 CEDAR LN,WISHON,CA,93669,,180,89,SIERRA LINDA MUTUAL WATER CO
2000507,WARNOCK FOOD PRODUCTS #2,WARNOCK FOOD PRODUCTS,20237 MASA ST,MADERA,CA,93638,,145,1,WARNOCK FOOD PRODUCTS
2000508,CALVIN CREST CONFERENCE CENTER,CALVIN CREST CONFERENCE CENTER,45800 CALVIN CREST RD,OAKHURST,CA,93644,,200,1,
2000509,CASCADEL MUTUAL WATER SYSTEM,CASCADEL MUTUAL WATER SYSTEM,59827 CASCADEL Dr,NORTH FORK,CA,93643,,300,116,CASCADEL MUTUAL WATER SYSTEM
2000511,MD#85 VALETA,MD#85 VALETA,23468 VALETA DR,CHOWCHILLA,CA,93610,,45,19,MD#85 VALETA MUTUAL
2000512,EAST ACRES MUTUAL WATER COMPANY,EAST ACRES MUTUAL WATER COMPAN,5804 PAMONA,FIREBAUGH,CA,93622,,250,81,EAST ACRES MUTUAL WATER COMPAN
2000514,WAGON WHEEL SUPER MARKET,WAGON WHEEL,8117 HIGHWAY 152,CHOWCHILLA,CA,93610,,20,2,WAGON WHEEL
2000515,PLACER CAMPGROUND,PLACER CAMPGROUND,1130 'O' STREET,FRESNO,CA,93721,,35,1,
2000516,ROCK CREEK CG WATER SYSTEM,ROCK CREEK CAMPGROUND,,NORTH FORK,CA,93643,,132,1,ROCK CREEK CAMPGROUND
2000517,CENTRAL CAMP WATER COMPANY INC,CENTRAL CAMP WATER COMPANY,10 MI NORTH RD 274,MADERA,CA,93638,,176,79,CENTRAL CAMP WATER COMPANY
2000518,MAMMOTH POOL CG WATER SYSTEM,MAMMOTH POOL CAMPGROUND,MAMMOTH POOL RD,NORTH FORK,CA,93643,,225,1,MAMMOTH POOL CAMPGROUND
2000519,WEATHERLY MUTUAL WATER COMPANY,WEATHERLY MUTUAL WATER SYSTEM,DOWN TOWN,NORTH FORK,CA,93643,,84,21,
2000521,BROADVIEW TERRACE MUTUAL WATER COMPANY,BROADVIEW TERRA,P.O. BOX 1454,OAKHURST,CA,93644,,498,178,BROADVIEW TERRACE WATER CO
2000522,AHWAHNEE INN,AHWAHNEE INN,40603 HWY,OAKHURST,CA,93644,,50,1,
2000524,SKY ACRES MUTUAL WATER CORP,SKY ACRES MUTUAL WATER CORP,ROAD 632,OAKHURST,CA,93644,,175,50,
2000526,PIKE RANCH MUTUAL WATER CO,PIKE RANCH MUTUAL WATER CO,41281 PAMELA PL,OAKHURST,CA,93644,,74,23,PIKE RANCH MUTUAL WATER CO
2000527,YOSEMITE FORKS EST MUTUAL,YOSEMITE FORKS ESTATES MUTUAL,OFF HIGHWAY 41,OAKHURST,CA,93644,,110,99,YOSEMITE FORKS ESTATES MUTUAL
2000529,BONADELLE RANCHOS MUTUAL WATER,BONADELLE RANCHOS MUTUAL,35303 BONADELLE Ave,MADERA,CA,93636,,50,23,BONADELLE RANCHOS MUTUAL WATER
2000530,CRASS MUTUAL WATER COMPANY,CRASS MUTUAL WATER COMPANY,51787 MONTGOMERY,OAKHURST,CA,93644,,80,26,CRASS MUTUAL WATER COMPANY
2000531,RANCHO MARKET,RANCHO MARKET / BILL S KWIK STOP #3,12890 ROAD 24,MADERA,CA,93637,,150,2,BILL S KWIK STOP #3
2000533,SUGAR PINE HOMEOWNERS ASSOC,SUGAR PINE HOMEOWNERS ASSOC,47599 ROAD 630,OAKHURST,CA,93644,,120,58,
2000534,LEISURE ACRES MUTUAL WATER COMPANY,LEISURE ACRES MUTUAL WATER COM,54234 WHITE OAK PLACE DR,NORTH FORK,CA,93643,,45,24,LEISURE ACRES MUTUAL WATER COM
2000535,BEASORE MEADOWS,BEASORE MEADOWS,BEASORE Rd,BASS LAKE,CA,93604,,100,75,BEASORE MEADOWS
2000536,HIGH SIERRA MEADOW MUTUAL WTR,HIGH SIERRA MEADOW MUTUAL WTR,MAMMOTH RD,NORTH FORK,CA,93643,,75,350,
2000537,AHWAHNEE QUIK MART,AHWAHNEE QUIK MART,42566 HIGHWAY 49,AHWAHNEE,CA,93601,,35,1,AHWAHNEE QUIK MART
2000538,CEDAR VALLEY MUTUAL WATER CO,CEDAR VALLEY MUTUAL WATER CO,44907 LAKESIDE DR B,OAKHURST,CA,93644,,137,67,CEDAR VALLEY MUTUAL WATER CO
2000541,PG&E NO 3 POWERHOUSE &,PG&E NO 3 POWERHOUSE &,1401 FULTON ST,FRESNO,CA,93721,,1000,6,
2000542,SA#02W WISHON COVE,SA#2W WISHON CO,ROAD 222,BASS LAKE,CA,93604,,226,32,SA#2W WISHON COVE
2000544,MD#01 HIDDEN LAKE ESTATES,MD#1 HIDDEN LAK,,FRIANT,CA,93626,,162,53,MD#1 HIDDEN LAKE
2000545,DAYS INN,DAYS INN,25327 AVENUE 16,MADERA,CA,93637,,100,2,DAYS INN
2000547,CASA GRANDE MOTEL,CASA GRANDE MOTEL,12390 GOLDEN STATE Blvd,MADERA,CA,93637,,25,3,CASA GRANDE MOTEL
2000548,MILLER S LANDING RESORT,MILLER S LANDING RESORT,37976 ROAD 222,WISHON,CA,93669,,230,13,MILLER'S LANDING RESORT
2000549,MD#05 MOUNTAIN RANCHES,MD#5 MOUNTAIN RANCHES,ROAD 400,MADERA,CA,93636,,150,26,MD#5 MOUNTAIN RANCHES
2000550,MD#06 LAKE SHORE PARK,MD#6 LAKE SHORE PARK,,BASS LAKE,CA,93604,,130,45,MD#6 LAKE SHORE PARK
2000551,MD#07 MARINA VIEW HEIGHTS,MD#7 MARINA VIEW HEIGHTS,,BASS LAKE,CA,93604,,200,74,MD#7 MARINA VIEW HEIGHTS
2000552,MD#24 TEAFORD MEADOW LAKES,MD#24 TEAFORD MEADOW LAKES,ROAD 23 & FINEGOLD CREEK,NORTH FORK,CA,93643,,150,66,MD#24 TEAFORD MEADOW LAKES
2000553,MD#28 RIPPERDAN SELF HELP,MD#28 RIPPERDAN SELF HELP,,MADERA,CA,93637,,48,20,MD#28 RIPPERDAN SELF HELP
2000554,MD#33 FAIRMEAD,MD#33 FAIRMEAD DIST,22527 ROAD 19 1/2,MADERA,CA,93637,,568,165,MD#33 FAIRMEAD DIST
2000555,HENSLEY LAKE - HIDDEN DAM,HENSLEY LAKE - HIDDEN DAM,P.O. BOX 85,RAYMOND,CA,93653,,350,35,
2000556,PUTNEY RANCH CAMP,Putney,56887 SHINN CABIN LN,NORTH FORK,CA,93643,,80,7,Putney
2000557,MD#43 MIAMI CREEK KNOLLS,MD#43 MIAMI CREEK KNOLLS,45512 LAURI LN,AHWAHNEE,CA,93601,,100,26,MD#43 MIAMI CREEK KNOLLS
2000558,COARSEGOLD MARKET WATER SYSTEM,COARSEGOLD MARKET,37203 HIGHWAY 41,COARSEGOLD,CA,93614,,100,5,
2000559,COARSEGOLD STAGE STOP,,37204 HIGHWAY 41,COARSEGOLD,CA,93614,,30,1,
2000560,CAMP SUGAR PINE,CAMP SUGAR PINE,48478 MILL CANYON Rd,OAKHURST,CA,93644,,243,30,
2000561,MD#08 NORTH FORK WATER SYSTEM,MD#8 NORTH FORK,32827 ROAD 222,NORTH FORK,CA,93643,,264,70,MD#8 NORTH FORK
2000562,SKYLAKE YOSEMITE CAMP,SKYLAKE YOSEMITE CAMP,37976 ROAD 222,WISHON,CA,93669,,280,6,
2000563,EMERALD COVE CAMP,EMERALD COVE CAMP,39515 ROAD 274,BASS LAKE,CA,93604,,150,1,EMERALD COVE CAMP
2000564,CALIFORNIA LIONS CAMP PACIFICA,CAMP PACIFICA,45895 HIGHWAY 49,AHWAHNEE,CA,93601,,120,7,
2000565,GLENWOOD ACRES MUTUAL WATER CO,GLENWOOD ACRES MUTUAL WATER CO,39417 SUMMIT DR,OAKHURST,CA,93644,,24,14,
2000567,YOSEMITE HIGH SCHOOL,YOSEMITE HIGH SCHOOL,50200 ROAD 427,OAKHURST,CA,93644,,796,1,
2000568,WHITE OAKS GUEST HOME,WHITE OAKS GUEST HOME,41139  HIGHWAY 41,OAKHURST,CA,93644,,50,1,HWITE OAKS GUEST HOME
2000571,SNOWLINE BAR & GRILL,Snowline Restaurant,42155 HIGHWAY 41,OAKHURST,CA,93644,,200,1,Snowline Restaurant
2000572,AL S PLACE,AL S PLACE,40563 HIGHWAY 41,OAKHURST,CA,93644,,10,2,
2000573,THE VILLAGE,THE VILLAGE,46777 OONAY NATION RD,COARSEGOLD,CA,93614,,40,21,
2000574,MAD BEAR CAFE,MAD BEAR CAFE,43988 HIGHWAY 41,OAKHURST,CA,93644,,50,3,
2000576,HOLIDAY SHOPS,Holiday Shops,HIGHWAY 41,FRESNO,CA,93773,,10,5,
2000577,EL CID MEXICAN CUISINE,EL CID MEXICAN CUISINE,41939 HIGHWAY 41,OAKHURST,CA,93644,,100,3,
2000578,PETE S PLACE (WATER),PETE S PLACE,40093 HIGHWAY 41,OAKHURST,CA,93644,,150,1,PETE'S PLACE
2000580,MIDWAY MARKET COMPLEX,MIDWAY MARKET COMPLEX,HIGHWAY 41 & CIVIC CIRCLE DR,OAKHURST,CA,93644,,15,4,
2000581,COARSEGOLD INN,COARSEGOLD INN,35300 HIGHWAY 41,COARSEGOLD,CA,93614,,30,14,COARSEGOLD INN
2000584,OAKHURST PLAZA,INVESTMENT COMMERCIAL BROKER,2350 W SHAW 1,FRESNO,CA,93711,,100,10,
2000585,TEAPOT CORNER - FORCED TO PICME,,,,CA,,,0,0,
2000586,BIG FOOT BURGER PIT,PO BOX 458 OAKHURST 93644,40388 HWY,OAKHURST,CA,93644,,100,1,
2000587,YOSEMITE SOUTH KOA,YOSEMITE SO COARSEGOLD RANCH,34094 HIGHWAY 41,COARSEGOLD,CA,93614,,350,3,
2000588,REDWOOD CREEK MOBILE HOME PARK,REDWOOD CREEK MOBILE HOME PARK,51275  DORSTAN DR,OAKHURST,CA,93644,,20,9,
2000589,MAMMOTH POOL MOBILE HOME PARK,MAMMOTH POOL MOBILE HOME PARK,59462 225 RD,NORTH FORK,CA,93643,,60,32,MAMMOTH POOL MOBILE HOME PARK
2000590,HIGH SIERRA MHP - FORCED TO PICME,,,,CA,,,0,0,
2000591,DUPPA VILLA - FORCED TO PICME,,,,CA,,,0,0,
2000592,TWO TWENTY FOUR MOBILE HOME PK,TWO TWENTY FOUR MOBILE HOME PK,33249 ROAD 224 RD,NORTH FORK,CA,93643,,30,15,TWO TWENTY FOUR MOBILE HOME PK
2000593,OAKHURST MOBILE HOME ESTATES,OAKHURST MOBILE HOME ESTATES,39678 ROAD 425B,OAKHURST,CA,93644,,114,114,
2000594,THE OLD NUGGET,GRIZZLY BEAR REST/NUGGET SALOO,35364 HIGHWAY 41,COARSEGOLD,CA,93614,,35,4,GRIZZLY BEAR REST/NUGGET SALOO
2000595,COUNTRY LIVING MHP,COUNTRY LIVING MHP,2169 W. KENNEDY ST. # 51,MADERA,CA,93637,,450,99,
2000596,HIGH SIERRA RV & MH PARK,HIGH SIERRA RV & MH PARK,PO BOX 15,OAKHURST,CA,93644,,16,63,
2000597,DAIRYLAND SCHOOL,DAIRYLAND SCHOOL,12861 AVENUE 18 1/2,CHOWCHILLA,Ca,93610,,250,1,
2000598,ALVIEW SCHOOL,ALVIEW SCHOOL,20513 ROAD 4,CHOWCHILLA,Ca,93610,,200,1,
2000599,EASTIN ARCOLA SCHOOL,EASTIN-ARCOLA SCHOOL,29551 AVENUE 8,MADERA,CA,93637,,500,3,EASTIN-ARCOLA SCHOOL
2000600,HOWARD ELEMENTARY SCHOOL,HOWARD ELEMENTARY SCHOOL,13878 ROAD 21 1/2,MADERA,CA,93637,,673,1,
2000601,LA VINA SCHOOL,LA VINA SCHOOL,8594 ROAD 23,MADERA,Ca,93637,,350,1,
2000602,RIPPERDAN ELEMENTARY SCHOOL,RIPPERDAN ELEMENTARY SCHOOL,26133 AVENUE 7,MADERA,CA,93637,,195,1,
2000603,WEBSTER SCHOOL,WEBSTER SCHOOL,36477 RUTH AVE,MADERA,CA,93638,,570,1,
2000604,ALVIEW SCHOOL,ALVIEW SCHOOL,20513 ROAD 4,CHOWCHILLA,CA,93610,,250,2,
2000605,WHISPERING PINES MHP,WHISPERING PINES MHP,41941 ROAD 222,OAKHURST,CA,93644,,31,18,
2000607,SPRING VALLEY SCHOOL,SPRING VALLEY SCHOOL,46655 ROAD 200,O'NEALS,CA,93645,,150,1,SPRING VALLEY SCHOOL
2000608,WILDWOOD MOBILE HOME PK INC,WILDWOOD MOBILE HOME PK INC,8701 N HIGHWAY 41 70,FRESNO,CA,93720,,107,68,
2000609,RED TOP MARKET,RED TOP CAFE,22794 ROAD 4,RED TOP,Ca,93240,,100,2,RED TOP CAFE
2000610,ORANGE KING DRIVE INN,ORANGE KING DRIVE INN,812 JAMES WAY,MADERA,CA,93637,,200,1,
2000611,COARSEGOLD ELEMENTARY SCHOOL,COARSEGOLD SCHOOL,45426 ROAD 415,COARSEGOLD,CA,93614,,464,1,COARSEGOLD SCHOOL
2000612,NORTH FORK UNION SCHOOL,NORTH FORK ELEMENTARY SCHOOL,33087 ROAD 228,NORTH FORK,CA,93643,,350,3,NORTH FORK ELEMENTARY SCHOOL
2000613,OAKHURST ELEMENTARY SCHOOL,OAKHURST ELEMENTARY SCHOOL,49495 ROAD 427,OAKHURST,CA,93644,,329,6,OAKHURST ELEMENTARY SCHOOL
2000614,OAK CREEK INTERMEDIATE SCHOOL,OAKCREEK INTERMEDIATE SCHOOL,40094 INDIAN SPRINGS RD,OAKHURST,CA,93644,,190,7,OAKCREEK INTERMEDIATE SCHOOL
2000615,MAMMOTH ORANGE,MAMMOTH ORANGE,22150 AVENUE 22 1/2,CHOWCHILLA,CA,93610,,50,1,
2000616,WASUMA SCHOOL,WASUMA SCHOOL,43109 HIGHWAY 49,AHWAHNEE,CA,93601,,307,4,WASUMA SCHOOL
2000618,EASTMAN LAKE HEADQUARTERS,EASTMAN LAKE HEADQUARTERS,32175 ROAD 29,RAYMOND,CA,93653,,25,1,
2000619,COLD SPRING GRANITE CO RAYMOND,COLD SPRING GRANITE CO RAYMOND,36772 ROAD 606,RAYMOND,CA,93653,,43,5,
2000620,NORTH FORK RANGER STATION,North Fork Ranger Station,1130_  O,NORTH FORK,CA,93643,,300,21,
2000621,MINARETS WORK CENTER(water),MINARETS WORK CENTER,57003 ROAD 225,NORTH FORK,CA,93643,,30,15,MINARETS WORK CENTER
2000622,MADERA GOLF AND COUNTRY CLUB,MADERA GOLF AND COUNTRY CLUB,19297 ROAD 26,MADERA,CA,93637,,100,1,
2000623,CLOVER MEADOW CAMP GROUND,CLOVER MEADOW,1130 O STREET,NORTH FORK,CA,93643,,350,10,
2000626,CEDAR SPRINGS WATER CO,,CEDAR VALLEY RD,OAKHURST,CA,93644,,100,10,
2000627,BLACK HAWK LODGE,BLACK HAWK LODGE,27694 HIGHWAY 41,COARSEGOLD,CA,93614,,40,14,BLACK HAWK LODGE
2000629,KANE RANCH WATER ASSOCIATION,KANE RANCH WATER ASSOCIATION,56001 HIGHWAY 41,FISH CAMP,CA,93623,,200,8,
2000634,URSI S PLACE (CAFE),RESTARUANTE CERRO DE LA SILLA,28314 HIGHWAY 145,MADERA,CA,93637,,125,1,
2000635,FORTY ONE MOTEL,FORTY ONE MOTEL,P.O. BOX 382,COARSEGOLD,CA,93614,,25,13,
2000636,SIERRA SKY RANCH WATER SYSTEM,SIERRA SKY RANCH,50552 ROAD 632,OAKHURST,CA,93644,,26,2,
2000637,DELGADO S WATER SYSTEM,DELGADO S RESTAURANT,7112 CA-145 A,MADERA,CA,93637,,35,5,
2000640,SIERRA MEADOWS HOSPITAL,SIERRA MEADOWS HOSPITAL,801 S. VICTORIA,VENTURA,CA,93003,,60,1,
2000641,ALMADEN - MADERA,ALMADEN - PAUL MASSON,22004 ROAD 24,MADERA,Ca,93638,,60,3,PAUL MASSON
2000642,CALIFORNIA FRUIT PRODUCTS,California Fruit Products,25427  AVENUE 13,MADERA,CA,93637,,60,9,
2000643,FRUTEC/GRAPECO-closed,GRAPECO,31754 AVENUE 9,MADERA,CA,93638,,50,3,
2000644,NORBY LUMBER COMPANY,Norby Lumber Company,31470 AVENUE 12,MADERA,CA,93639,,25,40,
2000645,OLD TOWN SALOON & DINING HOUSE,Old Town Saloon & Dining House,54420 ROAD 226,BASS LAKE,CA,93604,,50,4,
2000647,JOHN HOVANNISIAN WATER SYSTEM,JOHN HOVANNISIAN WATER SYSTEM,57839 ROAD 225,NORTH FORK,CA,93643,,80,19,JOHN HOVANNISIAN WATER SYSTEM
2000648,SNOWLINE LODGE MOTEL,SNOWLINE LODGE MOTEL,42150 HIGHWAY 41,OAKHURST,CA,93644,,20,7,
2000650,ROYAL MADERA VINEYARD,MADERA PACKING & COLD STORAGE,7770  ROAD 33,MADERA,CA,93638,,100,4,MADERA PACKING & COLD STORAGE
2000651,SOUTH FORK MHP WATER SYSTEM,SOUTH FORK MOBILE HOME PARK,57630 ROAD 225,NORTH FORK,CA,93643,,50,21,SOUTH FORK MOBILE HOME PARK
2000653,VICTOR PACKING,VICTOR PACKING,11687 ROAD 27 1/2,MADERA,CA,93637,,35,1,
2000654,CAL GEM RAISIN INC - FORCED TO PICME,,,,CA,,,0,0,
2000655,BALTIMORE AIRCOIL COMPANY,BALTIMORE AIRCOIL COMPANY,15341 ROAD 28 1/2,MADERA,CA,93638,,280,1,BALTIMORE AIRCOIL COMPANY
2000656,MOUNTAIN HOUSE RESTAURANT,MOUNTAIN HOUSE RESTAURANT,4614 ROAD 222,BASS LAKE,CA,93604,,100,1,
2000657,CONNIE S KITCHEN,Connie s Kitchen,32762 ROAD 222,NORTH FORK,CA,93643,,35,3,
2000658,VALLEY GRAIN PRODUCTS WATER-FORCED PICME,,,,CA,,,0,0,
2000659,CONSTELLATION WINE CO. MISSION BELL,CWC-MISSION BELL,12667 ROAD 24,MADERA,CA,93637,,440,1,CANANDAIGUA WEST/MISSION BELL
2000660,"SAINT-GOBAIN CONTAINERS, INC","SAINT-GOBAIN CONTAINER, INC",24441 AVENUE 12,MADERA,CA,93637,,354,2,MADERA GLASS COMPANY
2000661,OBERTI OLIVE,OBERTI OLIVE,12806  ROAD 26,MADERA,CA,93639,,100,6,
2000662,CROP PRODUCTION SERVICES,WESTERN FARM SERVICE,24778 AVENUE 13,MADERA,CA,93637,,30,5,WESTERN FARM SERVICE
2000663,GEORGIA PACIFIC CORP,GEORGIA PACIFIC,24600 AVENUE 13,MADERA,CA,93639,,60,10,
2000664,THOMAS LIBBEY RANCH - FORCED TO PICME,,,,CA,,,0,0,
2000665,SHERMAN THOMAS ENTERPRISES,SHERMAN THOMAS ENTERPRISES,25810 AVENUE 11,MADERA,CA,93637,,16,12,
2000666,NLF MECHANICS SHOP #900,NLF Mechanic s Shop #900,10304 AVENUE 7 1/2,FIREBAUGH,CA,93622,,30,1,
2000669,SAMARIAN EAST SIDE RANCH,,7720 EAST SIDE DR,FIREBAUGH,CA,93622,,7,2,
2000670,PG&E AG WISHON POWERHOUSE,PG&E AG WISHON/SMALLEY COVE,ROAD 222 7 MILES S OF NF,NORTH FORK,CA,93643,,26,9,AG WISHON/SMALLEY COVE
2000671,WILLIAM HAGOPIAN CAMP,,20555 AVENUE 8,MADERA,CA,93637,,200,5,
2000672,"ROBERT JOHNSON FARMS, INC",ROBERT JOHNSON RANCH,6306 ROAD 26 1/2,MADERA,CA,93637,,40,8,ROBERT JOHNSON RANCH
2000675,WAGNER TRUST RR #10 - FORD RANCH,FORD RANCH,9100 HIGHWAY 145,MADERA,CA,93637,,18,5,
2000676,BOWLES FARMING CO HDQ WATER-FORCED PICME,,,,CA,,,0,0,
2000677,BOWLES FARMING CO. - FORCED TO PICME,,,,CA,,,0,0,
2000678,LES MARKARIAN RANCH #1,Les Markarian Ranch #1,22886 AVENUE 12,FRESNO,CA,93704,,30,1,
2000679,LES MARKARIAN RANCH #2,LES MARKARIAN RANCH #2,22886 AVENUE 12,MADERA,CA,93637,,35,4,
2000680,LES MARKIRIAN RANCH #3,Les Markarian Ranch #3,22886 AVENUE 12,MADERA,CA,93637,,20,4,
2000681,CERTAINTEED,CERTAINTEED,17775 AVENUE 23 1/2,CHOWCHILLA,CA,93610,,150,1,CERTAINTEED
2000682,AZTECA MILLING LP #1(VALLEY GRAIN),AZTECA MILLING LP VALLEY GRAIN,23865 AVENUE 18,MADERA,CA,93638,,99,1,AZTECA MILLING/VALLEY GRAIN
2000683,NORTH FORK CENTER,NORTH FORK CENTER,ROAD 222,NORTH FORK,CA,93643,,180,10,
2000684,OAKHURST ELKS LODGE #2724,ELKS LODGE  #2724,42484 HWY 41,OAKHURST,CA,93644,,300,1,ELKS LODGE  #2724
2000685,COCHRAN WATER SYSTEM,COCHRAN WATER SYSTEM,P.O. BOX 739,N FORK,CA,93643,,75,3,
2000688,ECCO,ECCO,43803 HIGHWAY 41,OAKHURST,CA,93644,,100,43,ECCO
