SYSTEM_NO,SYSTEM_NAM,HQNAME,ADDRESS,CITY,STATE,ZIP,ZIP_EXT,POP_SERV,CONNECTION,AREA_SERVE
0110015,PG&E - BETHANY COMPRESSOR STATION,PG&E - BETHANY,"375 North Wiget Lane, Suite 20",WALNUT CREEK,CA,94598,,5,1,
0110016,ALAMEDA POINT,CDR DONALD ORND,Alameda Point,ALAMEDA,CA,94501,5000,750,349,
0110017,BELVOIR SPRINGS,BELVOIR SPRINGS,Mission Blvd.,FREMONT,CA,94536,,0,3,
0110018,SFPUC-PLEASANTON WELLS,PLEASANTON WELL,,PLEASANTON,CA,95555,,1,1,
0110019,GOLDEN GATE CHURCH,,2950 Niles Canyon Road,FREEMONT,CA,94536,,50,1,
0110020,UTILITY VAULT,UTILITY VAULT,1901 Isabel Ave,LIVERMORE,CA,94550,,0,1,
0110650,USBR-SLDMWA - CVP JONES PUMPING PLANT,SAN LUIS & DELT,15990 Kelso Road,BYRON,CA,94514,1916,90,1,San Luis & Delta Mendota Water Authority
0110700,PARKS RFTA,USAR - PARKS RF,HQ Command - Bldg. 270,DUBLIN,CA,94568,568,0,123,
0190001,Dublin San Ramon Services District,DERWA - Water Recycling Project,Dublin San Ramon Services Dist,Dublin,CA,94568,,0,0,WASTEWATER GENERATOR
0190002,City of Livermore,City of Livermore - Water Recycling,City of Livermore Water Resour,Livermore,CA,94550,,0,0,WASTEWATER GENERATOR
0190003,EBMUD ENAQUA UV,EAST BAY MUNICIPAL UTILITY DISTRICT,375 ELEVENTH STREET,OAKLAND,CA,94607,4240,0,0,EAST BAY MUNICIPAL UTILITY DISTRICT
0190004,East Bay Municipal Utility District,East Bay Muncipal Utility District,PO Box 24055,Oakland,CA,94623,,0,0,WASTEWATER GENERATOR
0190005,EBMUD - E Bayshore Recycled Water,,EBMUD Office of Water Recyclin,Oakland,CA,94623,1055,0,0,WASTEWATER GENERATOR
0190006,City of Hayward,City of Hayward,777 B Street,"Hayward, Ca 94541-5007",CA,94623,,0,0,WASTEWATER GENERATOR
0190007,DERWA,DERWA,7051 Dublin Blvd,"Dublin, CA 94568",CA,94568,,0,0,DERWA
0190008,City of San Leandro,City of San Leandro,Engineering and Transportation Dept,San Leandro,CA,94577,,0,0,City of San Leandro
